Latitude,Longitude,Sample Date,nir,green,swir16,swir22,coastal,blue,red,lwir11,NDMI,MNDWI,Clorfilia,Turbidity,NDTI,NDVI
-28.760833,17.730278,2011-01-02,11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,,0.1855383392928079,0.1955947367044225,1.1955634614372397,1.3395416972853091,0.056793792306422,-0.0671890630210067
-26.861111,28.884722,2011-01-03,17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,,0.1245661518866418,-0.1801343549460211,1.0988378783648718,1.0633413877423887,-0.0164169970465369,0.3128996282527869
-26.45,28.085833,2011-01-03,15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,,-0.0832931533269042,-0.2528054645570494,1.1281241779479347,1.31965272306764,0.0782459157351673,0.0962162162162158
-27.671111,27.236944,2011-01-03,22506.5,17609.5,19994.0,18637.0,,16789.5,17986.5,,0.0591169515652755,-0.0634116505112554,1.048840048940049,1.0712945591994372,0.010591077649174,0.1116242313486278
-27.356667,27.286389,2011-01-03,16828.5,9502.5,12665.5,9643.0,,,,,0.1411473520037969,-0.1426831468783826,,,,
-27.01011111,26.69808333,2011-01-04,15022.5,10741.0,10585.5,8962.0,,10109.5,10900.0,,0.1732661668228672,0.0072913980259301,1.0624659974292447,1.078193778229482,0.0073471651032761,0.1590317291927855
-25.127778,27.628889,2011-01-04,7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,,0.0794308606161066,-0.1243936390095741,1.0412319423150882,1.0276886036313002,-0.0065460893177519,0.208101422387135
-25.20639,27.558,2011-01-04,14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,,0.1562998405103662,0.0072659031854489,1.0425839228014644,0.9946209782850782,-0.0235435053663544,0.1721421909006107
-24.69514,27.40906,2011-01-04,15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,,0.1319435593991802,-0.0563888950435377,1.0731781071456608,1.060780163389991,-0.0058098342071701,0.1925422948555638
-26.98472222,26.63227778,2011-01-04,10464.5,10697.5,8177.0,7864.5,,9763.0,11162.5,,0.1227100823431584,0.133539961323478,1.095718529240633,1.1433473318627778,0.0212717291857272,-0.0322744717251582
-28.141944,26.417778,2011-01-04,14886.0,10544.5,10158.5,8600.5,,9285.0,10775.5,,0.1887640000798571,0.0186446408733032,1.1356488961689284,1.160527733002531,0.0108348968105065,0.1601815949963947
-27.398611,26.614722,2011-01-04,10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,,0.087395879572812,-0.0097070549488645,1.0250598087124403,1.007476076655024,-0.0086511299435027,0.1055831364324204
-33.501667,21.624167,2011-01-04,,,,,,,,,,,,,,
