Latitude,Longitude,Sample Date,rain_7d_nasa,rain_3d_nasa,rain_12d_nasa
-28.760833,17.730278,02-01-2011,1.27,0.97,1.43
-26.861111,28.884722,03-01-2011,70.43,30.82,80.46000000000001
-26.45,28.085833,03-01-2011,56.23,27.54,64.82
-27.671111,27.236944,03-01-2011,61.63000000000001,33.39,67.28
-27.356667,27.286389,03-01-2011,61.63000000000001,33.39,67.28
-27.01011111,26.69808333,04-01-2011,50.94,30.69,55.540000000000006
-25.127778,27.628889,04-01-2011,35.28,23.450000000000003,47.22
-25.20639,27.558,04-01-2011,35.28,23.450000000000003,47.22
-24.69514,27.40906,04-01-2011,29.85,22.81,54.05
-26.98472222,26.63227778,04-01-2011,50.94,30.69,55.540000000000006
-28.141944,26.417778,04-01-2011,61.89,43.87,62.58
-27.398611,26.614722,04-01-2011,55.14999999999999,34.120000000000005,57.92999999999999
-33.501667,21.624167,04-01-2011,20.52,10.260000000000002,24.88
-32.502778,19.535833,04-01-2011,7.0600000000000005,6.08,7.32
-25.45963889,28.26430556,04-01-2011,42.97,26.76,52.46
-27.495556,26.074722,04-01-2011,52.34,35.57,53.650000000000006
-26.648056,27.089444,05-01-2011,60.05,38.75,66.64
-26.970278,27.211111,05-01-2011,68.88,47.17,78.27
-27.38972222,26.46388889,05-01-2011,53.74,38.870000000000005,56.94
-27.044444,27.005,05-01-2011,57.95,38.97,62.790000000000006
-30.830556,26.921389,06-01-2011,58.58,26.0,71.5
-27.00222,28.76528,06-01-2011,64.95,47.47,100.94
-27.02314,28.59389,06-01-2011,64.95,47.47,100.94
-30.679722,26.7125,06-01-2011,56.3,23.42,63.2
-30.160091,27.40124,06-01-2011,107.41,40.120000000000005,138.42999999999998
-32.595833,19.009444,06-01-2011,2.99,2.01,3.01
-25.99136,27.84208,10-01-2011,63.46,4.119999999999999,91.02
-26.73806,27.59194,10-01-2011,49.50000000000001,3.83,78.14000000000001
-26.45,28.085833,10-01-2011,53.74999999999999,3.6,85.89
-30.86013889,29.07125,10-01-2011,52.42,6.359999999999999,133.15
-27.356667,27.286389,10-01-2011,51.35000000000001,7.19,81.71999999999998
-27.01011111,26.69808333,11-01-2011,19.81,5.35,56.370000000000005
-25.73411,27.21422,11-01-2011,41.970000000000006,5.63,69.71
-26.98472222,26.63227778,11-01-2011,19.81,5.35,56.370000000000005
-27.398611,26.614722,11-01-2011,20.14,6.87,57.10999999999999
-27.671111,27.236944,11-01-2011,32.44,8.420000000000002,69.33
-29.160278,26.573333,11-01-2011,33.629999999999995,11.28,95.73
-34.250556,20.9925,11-01-2011,0.81,0.69,5.26
-25.45963889,28.26430556,11-01-2011,46.89999999999999,4.76,75.41
-25.81048333,27.90955222,12-01-2011,40.51,3.1900000000000004,74.03999999999999
-27.273889,28.49,12-01-2011,26.52,7.14,65.86
-27.4275,28.525833,12-01-2011,26.52,7.14,65.86
-28.883333,27.89,12-01-2011,44.35,19.34,132.85
-27.00222,28.76528,13-01-2011,6.04,1.62,57.05
-27.02314,28.59389,13-01-2011,6.04,1.62,57.05
