Latitude,Longitude,Sample Date,nir,green,swir16,swir22,coastal,blue,red,lwir11,NDMI,MNDWI,Clorfilia,Turbidity,NDTI,NDVI
-28.760833,17.730278,02-01-2011,11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,,0.18553833929280794,0.19559473670442257,1.1955634614372397,1.3395416972853091,0.05679379230642209,-0.06718906302100673
-26.861111,28.884722,03-01-2011,17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,,0.12456615188664187,-0.18013435494602117,1.0988378783648718,1.0633413877423887,-0.016416997046536912,0.31289962825278694
-26.45,28.085833,03-01-2011,15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,,-0.08329315332690428,-0.2528054645570494,1.1281241779479347,1.31965272306764,0.07824591573516734,0.09621621621621587
-27.671111,27.236944,03-01-2011,22506.5,17609.5,19994.0,18637.0,,16789.5,17986.5,,0.05911695156527556,-0.06341165051125543,1.048840048940049,1.0712945591994372,0.010591077649174035,0.11162423134862788
-27.356667,27.286389,03-01-2011,,,,,,,,,,,,,,
-27.01011111,26.69808333,04-01-2011,15022.5,10741.0,10585.5,8962.0,,10109.5,10900.0,,0.1732661668228672,0.007291398025930147,1.0624659974292447,1.0781937782294821,0.007347165103276155,0.15903172919278558
-25.127778,27.628889,04-01-2011,7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,,0.07943086061610664,-0.12439363900957418,1.0412319423150882,1.0276886036313002,-0.006546089317751961,0.20810142238713505
-25.20639,27.558,04-01-2011,14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,,0.1562998405103662,0.007265903185448912,1.0425839228014644,0.9946209782850782,-0.023543505366354432,0.17214219090061075
-24.69514,27.40906,04-01-2011,15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,,0.13194355939918023,-0.056388895043537744,1.0731781071456608,1.060780163389991,-0.0058098342071701585,0.1925422948555638
-26.98472222,26.63227778,04-01-2011,10464.5,10697.5,8177.0,7864.5,,9763.0,11162.5,,0.12271008234315843,0.13353996132347806,1.095718529240633,1.1433473318627778,0.02127172918572726,-0.03227447172515822
-28.141944,26.417778,04-01-2011,14886.0,10544.5,10158.5,8600.5,,9285.0,10775.5,,0.1887640000798571,0.018644640873303298,1.1356488961689284,1.160527733002531,0.010834896810506516,0.16018159499639475
-27.398611,26.614722,04-01-2011,10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,,0.08739587957281204,-0.009707054948864566,1.0250598087124403,1.007476076655024,-0.008651129943502775,0.1055831364324204
-33.501667,21.624167,04-01-2011,,,,,,,,,,,,,,
-32.502778,19.535833,04-01-2011,17653.0,13104.0,19330.0,16984.0,,10579.0,14613.0,,-0.0453451585863774,-0.191959055312326,1.2386804046751017,1.3813214860627565,0.0544431215499511,0.09421682266162495
-25.45963889,28.26430556,04-01-2011,13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,,-0.0411292953924884,-0.20853184491179028,1.0861144546355073,1.2141372142372142,0.05565597945009963,0.1142686090600674
-27.495556,26.074722,04-01-2011,,,,,,,,,,,,,,
-26.648056,27.089444,05-01-2011,19310.5,9597.0,12954.5,9447.5,,8535.0,8963.5,,0.1969936463660307,-0.14888144912755183,1.1244288225956063,1.0502050381785002,-0.03413162360927759,0.36595458725330565
-26.970278,27.211111,05-01-2011,11076.0,10352.0,7909.0,7729.5,,9549.0,10779.0,,0.1668159072952322,0.13378237774492016,1.084092575238758,1.128809299503079,0.020207278406133074,0.013589567604667063
-27.38972222,26.46388889,05-01-2011,15218.0,12371.5,14291.0,12090.0,,11841.0,12765.5,,0.031414144837168215,-0.0719924988279416,1.0448019593939786,1.0780761760986488,0.01567410589966975,0.08764093126306542
-27.044444,27.005,05-01-2011,25037.5,19133.5,22864.5,19121.5,,17701.0,19154.5,,0.04536345037785469,-0.088837563693509,1.0809276313072764,1.0821140049584825,0.0005484747179272865,0.13312364228819665
-30.830556,26.921389,06-01-2011,12845.0,9640.0,10285.5,9020.0,,8889.0,9638.0,,0.1106547631914567,-0.03239567388522229,1.084486444019451,1.0842614468319158,-0.00010374520178441694,0.14264110661388543
-27.00222,28.76528,06-01-2011,13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,,0.02688041302680549,-0.1460357323816441,1.108429600923516,1.1377101682345077,0.013035950707811321,0.15956233365721703
-27.02314,28.59389,06-01-2011,11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,,0.05113662351918744,-0.01981122800117973,1.121050264352783,1.138985719204914,0.007935915615593165,0.0629755544762827
-30.679722,26.7125,06-01-2011,10973.5,8966.5,7961.0,7748.0,,8518.5,9016.0,,0.1591011117272695,0.05940038399054758,1.0525914187769971,1.0584023009745671,0.0027526762129848315,0.09792641136596665
-30.160091,27.40124,06-01-2011,15444.5,10740.0,15113.5,11890.5,,9521.0,11418.5,,0.010831860723869328,-0.16916471657609156,1.1280327697670518,1.1992962925062598,0.030620303720919603,0.14987157056173864
-32.595833,19.009444,06-01-2011,15218.5,10334.0,14735.0,12208.5,,9227.5,10903.5,,0.016141686280401236,-0.17555546691132407,1.1199133027280141,1.181630994410485,0.026815773984696756,0.1651864328918147
